100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\awards.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume awards.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\bio.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume bio.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\columns.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume columns.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\image22.gif <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume image22.gif
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\index.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume index.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\interests.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume interests.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\research.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume research.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\resume.1996 <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume resume.1996
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\resume.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume resume.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\service.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume service.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\teaching.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume teaching.html
100.06.08 19:10 B D:\Inetpub\wwwroot\netfact\csev\resume\travel.html <--  /afs/engin.umich.edu/u/c/s/csev/Public/html/resume travel.html
101.09.30 17:59 B C:\My Documents\CRS\resume\WS_FTP.LOG <-- netfact /Inetpub/wwwroot/netfact/csev/resume WS_FTP.LOG
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\awards.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume awards.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\bio.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume bio.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\columns.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume columns.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\csev.jpg --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume csev.jpg
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\index.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume index.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\interests.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume interests.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\research.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume research.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\resume-ummu.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resume-ummu.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\resume.1996 --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resume.1996
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\resume.doc --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resume.doc
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\resumem2001.doc --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume resumem2001.doc
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\service.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume service.htm
101.09.30 19:30 B C:\My Documents\CRS\drchuck\resume\teaching.htm --> www.netfact.com /Inetpub/wwwroot/netfact/csev/resume teaching.htm
